2018-03-20__20:40:28 927M 783M 84.4660.2265%
2018-03-23__10:34:41 927M 764M 82.4164%
2018-03-23__10:35:03 927M 764M 82.3085%
2018-03-23__10:35:03 927M 763M 82.2006931%
2018-03-23__10:35:03 927M 763M 82.2006%
2018-03-23__10:37:44 927M 766M 82.6321%
2018-03-23__10:38:07 927M 766M 82.6321%
2018-03-23__10:39:31 927M 766M 82.6321%
2018-03-23__10:42:54 927M 761M 82.0928 77.9881%
2018-03-23__10:43:32 927M 764M 82.4164%
3__10:43:32 927M 764M2018-03-20__20:40:28 927M 783M 84.4660.2265%
20__20:40:28 927M 783M 84.466% 82018-03-20__20:40:32 927M 767M 82.74.603%
2018-03-20__20:40:35 927M 782M 84.3581%
2018-03-20__20:40:39 927M 766M 82.6321%
2018-03-20__20:40:42 927M 781M 84.2503%
2018-03-20__20:40:49 927M 781M 84.2503%
2018-03-20__20:40:52 927M 765M 82.5243%
2018-03-20__20:40:55 927M 781M 84.1424%
2018-03-20__20:40:58 927M 764M 82.4164%
2018-03-20__20:41:02 927M 779M 84.0345%
2018-03-20__20:41:05 927M 764M 82.3085.1931%
2018-03-20__20:41:08 927M 780M 84.1424%
2018-03-20__20:41:11 927M 763M 82.3085%
2018-03-20__20:41:15 927M 779M 84.0345%
2018-03-20__20:41:18 927M 762M 82.20066%
2018-03-20__20:41:22 927M 779M 84.0345%
2018-03-20__20:41:24 927M 762M 82.2006%
2018-03-20__20:41:28 927M 778M 83.9266%
2018-03-20__20:41:30 927M 762M 82.0928%
2018-03-20__20:41:35 927M 777M 83.81889.6278%
2018-03-20__20:41:37 927M 761M 82.0928%
2018-03-20__20:41:42 927M 777M 83.8188%
2018-03-20__20:41:43 927M 760M 81.9849%
2018-03-20__20:41:48 927M 776M 83.710953%
2018-03-20__20:41:50 927M 760M 81.9849%
2018-03-20__20:41:56 927M 759M 81.7691%
2018-03-20__20:42:03 927M 757M 81.6613%
2018-03-20__20:42:09 927M 757M 81.6613%
2018-03-20__20:42:15 927M 757M 81.661377.5782%
2018-03-20__20:42:22 927M 756M 81.5534%
2018-03-20__20:42:28 927M 755M 81.4455%
0__20:42:28 92018-03-20__20:42:35 927M 755M 81.445577.2707%
2018-03-20__20:42:41 927M 754M 81.3376%
2018-03-20__20:42:48 927M 753M 81.2298%
2018-03-20__20:42:54 927M 752M 81.1219%
2018-03-20__20:43:00 927M 751M 81.01433%
2018-03-20__20:43:07 927M 751M 81.014%
2018-03-20__20:43:13 927M 751M 81.014%
2018-03-20__20:43:20 927M 750M 80.9061%
2018-03-23__10:11:08 927M 764M 82.5243%
2018-03-23__10:11:14 927M 764M 82.4164.2956%
2018-03-23__10:12:32 927M 765M 82.5243%
2018-03-23__10:12:38 927M 764M 82.4164%
2018-03-23__10:12:44 927M 764M 82.4164%
